"customer_id","store_id","first_name","last_name","email","address_id","active","create_date","last_update"
1.00,1.00,"MARY","SMITH","MARY.SMITH@sakilacustomer.org",5.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
2.00,1.00,"PATRICIA","JOHNSON","PATRICIA.JOHNSON@sakilacustomer.org",6.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
3.00,1.00,"LINDA","WILLIAMS","LINDA.WILLIAMS@sakilacustomer.org",7.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
4.00,2.00,"BARBARA","JONES","BARBARA.JONES@sakilacustomer.org",8.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
5.00,1.00,"ELIZABETH","BROWN","ELIZABETH.BROWN@sakilacustomer.org",9.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
6.00,2.00,"JENNIFER","DAVIS","JENNIFER.DAVIS@sakilacustomer.org",10.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
7.00,1.00,"MARIA","MILLER","MARIA.MILLER@sakilacustomer.org",11.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
8.00,2.00,"SUSAN","WILSON","SUSAN.WILSON@sakilacustomer.org",12.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
9.00,2.00,"MARGARET","MOORE","MARGARET.MOORE@sakilacustomer.org",13.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
10.00,1.00,"DOROTHY","TAYLOR","DOROTHY.TAYLOR@sakilacustomer.org",14.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
11.00,2.00,"LISA","ANDERSON","LISA.ANDERSON@sakilacustomer.org",15.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
12.00,1.00,"NANCY","THOMAS","NANCY.THOMAS@sakilacustomer.org",16.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
13.00,2.00,"KAREN","JACKSON","KAREN.JACKSON@sakilacustomer.org",17.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
14.00,2.00,"BETTY","WHITE","BETTY.WHITE@sakilacustomer.org",18.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
15.00,1.00,"HELEN","HARRIS","HELEN.HARRIS@sakilacustomer.org",19.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
16.00,2.00,"SANDRA","MARTIN","SANDRA.MARTIN@sakilacustomer.org",20.00,0.00,2/14/2006 22:04:36,2/15/2006 4:57:20
17.00,1.00,"DONNA","THOMPSON","DONNA.THOMPSON@sakilacustomer.org",21.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
18.00,2.00,"CAROL","GARCIA","CAROL.GARCIA@sakilacustomer.org",22.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
19.00,1.00,"RUTH","MARTINEZ","RUTH.MARTINEZ@sakilacustomer.org",23.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
20.00,2.00,"SHARON","ROBINSON","SHARON.ROBINSON@sakilacustomer.org",24.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
21.00,1.00,"MICHELLE","CLARK","MICHELLE.CLARK@sakilacustomer.org",25.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
22.00,1.00,"LAURA","RODRIGUEZ","LAURA.RODRIGUEZ@sakilacustomer.org",26.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
23.00,2.00,"SARAH","LEWIS","SARAH.LEWIS@sakilacustomer.org",27.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
24.00,2.00,"KIMBERLY","LEE","KIMBERLY.LEE@sakilacustomer.org",28.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
25.00,1.00,"DEBORAH","WALKER","DEBORAH.WALKER@sakilacustomer.org",29.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
26.00,2.00,"JESSICA","HALL","JESSICA.HALL@sakilacustomer.org",30.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
27.00,2.00,"SHIRLEY","ALLEN","SHIRLEY.ALLEN@sakilacustomer.org",31.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
28.00,1.00,"CYNTHIA","YOUNG","CYNTHIA.YOUNG@sakilacustomer.org",32.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
29.00,2.00,"ANGELA","HERNANDEZ","ANGELA.HERNANDEZ@sakilacustomer.org",33.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
30.00,1.00,"MELISSA","KING","MELISSA.KING@sakilacustomer.org",34.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
31.00,2.00,"BRENDA","WRIGHT","BRENDA.WRIGHT@sakilacustomer.org",35.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
32.00,1.00,"AMY","LOPEZ","AMY.LOPEZ@sakilacustomer.org",36.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
33.00,2.00,"ANNA","HILL","ANNA.HILL@sakilacustomer.org",37.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
34.00,2.00,"REBECCA","SCOTT","REBECCA.SCOTT@sakilacustomer.org",38.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
35.00,2.00,"VIRGINIA","GREEN","VIRGINIA.GREEN@sakilacustomer.org",39.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
36.00,2.00,"KATHLEEN","ADAMS","KATHLEEN.ADAMS@sakilacustomer.org",40.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
37.00,1.00,"PAMELA","BAKER","PAMELA.BAKER@sakilacustomer.org",41.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
38.00,1.00,"MARTHA","GONZALEZ","MARTHA.GONZALEZ@sakilacustomer.org",42.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
39.00,1.00,"DEBRA","NELSON","DEBRA.NELSON@sakilacustomer.org",43.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
40.00,2.00,"AMANDA","CARTER","AMANDA.CARTER@sakilacustomer.org",44.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
41.00,1.00,"STEPHANIE","MITCHELL","STEPHANIE.MITCHELL@sakilacustomer.org",45.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
42.00,2.00,"CAROLYN","PEREZ","CAROLYN.PEREZ@sakilacustomer.org",46.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
43.00,2.00,"CHRISTINE","ROBERTS","CHRISTINE.ROBERTS@sakilacustomer.org",47.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
44.00,1.00,"MARIE","TURNER","MARIE.TURNER@sakilacustomer.org",48.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
45.00,1.00,"JANET","PHILLIPS","JANET.PHILLIPS@sakilacustomer.org",49.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
46.00,2.00,"CATHERINE","CAMPBELL","CATHERINE.CAMPBELL@sakilacustomer.org",50.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
47.00,1.00,"FRANCES","PARKER","FRANCES.PARKER@sakilacustomer.org",51.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
48.00,1.00,"ANN","EVANS","ANN.EVANS@sakilacustomer.org",52.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
49.00,2.00,"JOYCE","EDWARDS","JOYCE.EDWARDS@sakilacustomer.org",53.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
50.00,1.00,"DIANE","COLLINS","DIANE.COLLINS@sakilacustomer.org",54.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
51.00,1.00,"ALICE","STEWART","ALICE.STEWART@sakilacustomer.org",55.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
52.00,1.00,"JULIE","SANCHEZ","JULIE.SANCHEZ@sakilacustomer.org",56.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
53.00,1.00,"HEATHER","MORRIS","HEATHER.MORRIS@sakilacustomer.org",57.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
54.00,1.00,"TERESA","ROGERS","TERESA.ROGERS@sakilacustomer.org",58.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
55.00,2.00,"DORIS","REED","DORIS.REED@sakilacustomer.org",59.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
56.00,1.00,"GLORIA","COOK","GLORIA.COOK@sakilacustomer.org",60.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
57.00,2.00,"EVELYN","MORGAN","EVELYN.MORGAN@sakilacustomer.org",61.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
58.00,1.00,"JEAN","BELL","JEAN.BELL@sakilacustomer.org",62.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
59.00,1.00,"CHERYL","MURPHY","CHERYL.MURPHY@sakilacustomer.org",63.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
60.00,1.00,"MILDRED","BAILEY","MILDRED.BAILEY@sakilacustomer.org",64.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
61.00,2.00,"KATHERINE","RIVERA","KATHERINE.RIVERA@sakilacustomer.org",65.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
62.00,1.00,"JOAN","COOPER","JOAN.COOPER@sakilacustomer.org",66.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
63.00,1.00,"ASHLEY","RICHARDSON","ASHLEY.RICHARDSON@sakilacustomer.org",67.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
64.00,2.00,"JUDITH","COX","JUDITH.COX@sakilacustomer.org",68.00,0.00,2/14/2006 22:04:36,2/15/2006 4:57:20
65.00,2.00,"ROSE","HOWARD","ROSE.HOWARD@sakilacustomer.org",69.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
66.00,2.00,"JANICE","WARD","JANICE.WARD@sakilacustomer.org",70.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
67.00,1.00,"KELLY","TORRES","KELLY.TORRES@sakilacustomer.org",71.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
68.00,1.00,"NICOLE","PETERSON","NICOLE.PETERSON@sakilacustomer.org",72.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
69.00,2.00,"JUDY","GRAY","JUDY.GRAY@sakilacustomer.org",73.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
70.00,2.00,"CHRISTINA","RAMIREZ","CHRISTINA.RAMIREZ@sakilacustomer.org",74.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
71.00,1.00,"KATHY","JAMES","KATHY.JAMES@sakilacustomer.org",75.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
72.00,2.00,"THERESA","WATSON","THERESA.WATSON@sakilacustomer.org",76.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
73.00,2.00,"BEVERLY","BROOKS","BEVERLY.BROOKS@sakilacustomer.org",77.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
74.00,1.00,"DENISE","KELLY","DENISE.KELLY@sakilacustomer.org",78.00,1.00,2/14/2006 22:04:36,2/15/2006 4:57:20
